5,Nashville! Tn,2012-09-05,A must have basic...,,"I have been using this moisturizer on and off for years. Does just what it says it will...completely hydrates your skin in one application without feeling greasy. It absorbs quickly & is a great basic moisturizer. Regardless of what I use, I always seem to come back to this one moisturizer! Definitely a keeper in your skincare regime!"
4,NY,2018-10-04,Prod test october,,Very nice product specially for middle age females
5,,2018-09-24,I absolutely love this moisturizer!,,I have used many facial moisturizers without ever being impressed. This impressed me it makes my skin soft and keeps my skin moisturized all day. It doesn't have any greasy feeling and is working perfectly with my combination skin. Definitely will be repurchasing!! <3
5,"New York, NY",2018-09-17,A necessity,,"This week, I learned just how great Kiehls moisturizer works (and that my skin might be addicted to it!) I ran out of my deluxe-size moisturizer while on my honeymoon in Spain. Afterward, my skin became so dry and was actually peeling. I used my husband’s cheap, pharmacy moisturizer but it didn’t do anything for me. Fortunately, I was able to locate a Kiehls in Barcelona and purchased the facial cream. The instant I put it in, my skin was back to “normal.” SO beyond thankful I was able to find a location abroad and very thankful for the moisturizing power of Kiehls!!"
5,,2018-08-24,Awesome For Combination Skin,,I love this moisturizer after applying it gives me a nice glow that isn’t heavy or cakey on my skin. I will be purchasing again!
5,,2018-08-13,,,Can't beat this moisturizer! It is the perfect balance of hydration but not too much where my face gets oily. I use morning and night.
5,New York,2018-07-26,GOTTA HAVE IT,no bad,Nice product. I will recommend this to my friends.
5,"Alexandria, MN",2018-07-24,Great for Dry Winter Skin,,"I normally don’t even write reviews but I moved to Minnesota and my skin is so dry during the winter it cracks and flakes. This was a lifesaver it kept my skin soft and hydrated after one application at night after the shower. Goes on light and absorbs quickly, love the texture. I have sensitive skin and get a rash from a lot of lotions and this one had no reaction. It’s summer now and I still use it every night, great product."
5,"San Diego, CA",2018-07-22,Cure for everything,,I had very oily skin and am acne prone. I thought that this might help keep my skin moisturized and hydrated while using all my drying acne products and I was right! I don’t have oily skin anymore and my acne has decreased! This was the best purchase and the large container lasts for weeks!
5,"Chicago, IL, USA",2018-07-20,No Regrets,Expensive,"I have been struggling with an extremely dry face in the winter months and I've experimented (and wasted money) on many different moisturizers. Finally I came across this one! Right away my dry skin went away. I would moisturize in the AM and by nighttime my face would still be moisturized! I was so happy with the results and I will recommend this product to anyone. Additionally, I have very sensitive acne prone skin but this moisturizer does not cause any problems. Thanks Kiehl's :)"
5,"Portland, ME, USA",2018-07-18,This Cream is Wonderful!,,"I recently completed chemo and radiation therapy and my skin was so dried out I didn't think it would ever feel like skin again. Thanks to Kiehl's , and especially this face cream I am finally getting my
pre-treatment skin back. I recommend highly!"
5,"Minneapolis, MN, USA",2018-07-16,Swear by this,,"This is the best facial moisturizer I have ever purchased. I use this daily, and it spreads nicely and is very light. Apply in the morning and it will last you all day. Apply at night and your skin wakes up very refreshed."
3,Tijuana Mexico,2018-07-13,ITS NOT FOR ALL TYPES SKIN!!!!,,My skin is mix and i bought this product because i read the cream is a básic and is for all types skin but ......is too oily!!!! My skin ir was like a lamp and i cant out my makeover
5,"New York, NY",2018-06-27,Great Moisturizer!,,"I love this moisturizer it's very soothing to my skin. I use it in the morning and at night and notice a glow. Definitely would recommend to anyone, even with sensitive skin!"
3,Georgia,2018-06-24,Kiehl’s Has Better Products,,"I would say about 90% of my skin care routine is Kiehl’s. I’ve personally tried MANY of their products & find the “Ultra” line to be lacking. The Ultra Moisterizer feels like the “discount” version of the more expensive Kiehl’s moisturizers. I would use it if I ran out of Super Multi-Corrective Cream or Rosa Arctica, but I’d prefer to not resort to it. It doesn’t absorb as well, leaves the skin not as smooth and light, & has a tendency to make the skin too oily."
5,"Oakland, CA",2018-06-16,Standard,,This is among the products that I consider standard and will always have in stock. I keep a full size in my cabinet and a sample size that I refill in my bag!
5,"Buda, TX 78610, USA",2018-06-05,Best Moisturizer ever for sensitive skin,wish it was cheaper,"I love this moisturizer. I have not been able to use anything else that wont burn me. I have tried ole henrickson. este lauder, MAC, Dr Murad, and the list keeps going. IT also is not greasy at all."
5,"Los Angeles, CA",2018-05-30,Best Moisturizer Ever!!!,,First off I never write reviews but this moisturizer has amazed me so much!!! I’m on my second jar and I’ve seen so much change in my skin tone. My skin is smoother and it has prevented my occasional breakouts. It’s so amazing definitely a life changer.
5,"League City, TX",2018-05-29,Great for my aging skin,,I love that it has no scent. My face soaks it up and feels nice and smooth after applying. Great for after sun care.
5,,2018-05-18,,,"I have always had extremely sensitive skin and I am very acne prone. This is the only moisturizer I have ever used that leaves my skin feeling soft, not oily, and does not make me breakout. I have noticed a huge improvement in my skin since starting this product."
5,"Indianapolis, IN, USA",2018-05-17,LOVE this moisturizer,,"I have sensitive combination skin, and this moisturizer is perfect for my skin during all times of the year. Great silky texture - not greasy and seeps into your skin well."
4,Ma,2018-05-12,Has the formula changed?,,"I’ve been been using this cream on and off for years. I have always loved it and go back to it. I just bought some at Sephora after a year of NOT using it and it has a slight smell to it, one I have never noticed before and definitely don’t care for. Has the formula changed??"
1,,2018-05-06,extremely disappointed,,"I liked Kielhs before. but after I use this product and the Calendula toner, my skin has become dry than ever. I had to use other products to fix the dryness. When my skin got better, I tried this cream again, still does not work at all. also, I don't know if it's due to the product, I even got big pores.
I am very disappointed"
5,,2018-04-25,Ultra Results,,"I actually got this as a sample from BirchBox a month ago and I have already purchased the full size because this is amazing stuff. I am 30 and starting to see fine lines and crows feet by my eyes, or I WAS I should say. Since I started using this I have noticed a remarkable difference in my skin. I would highly recommend to anyone that needs the all in one moisturizer. Love this stuff!!!!!!!!"
4,"Las Vegas, NV",2018-04-22,Please make it better,,I have used this cream for 5 years. It is really moisturize my skin. Everything is perfect but one ingredient PROPYLPARABEN bother me. Please don't use it anymore. PLEASE!
5,,2018-04-12,best moisturizer,,I have never been able to use a moisturizer with out breaking out this has been the best purchase
5,"Pawling, Ny",2018-04-07,Holy Grail of moisturizers!,there is no con! :),"I am so in love with this moisturizer!! I’m 49 years old and I so wish I discovered this years ago. I have a moisturizer graveyard of all the products I’ve tried through the years. My best friend is an esthetician and has given me so many samples to try for my dry skin, to no avail. This has now become my favorite product ever! My face is truly moisturized all day, and it feels hydrated up until I go to bed. It really is unbelievable and I’m giving all my younger girlfriends a sample so they can discover it before they are 49 (lol). Thank you Kiehls!"
2,Chicago,2018-04-05,Everything is going ok... but then there's the smell,smell,"This seems to moisturized ok at night, a little too thick for the day time. My face has some slight irritation but not every night. the thing that I really hate about this product is... IT SMELLS LIKE JET FUEL! I put on this lovely scented midnight recovery concentrate and then bury the smell with fumes. not pleasant to smell when I lay my face on my pillow. overall disappointed with this product."
5,"Cleveland, Ohio",2018-04-04,Favorite Moisturizer!,,"I have gone through about 5-8 large jars of this moisturizer. I have started using it during the day, and the arctic one during the night since it is thicker. I love that this makes my skin feel soft, but does not look greasy. I have normal/dry skin, and live in Ohio so it gets pretty dry in the winter due to the cold. I would have patches on my face peeling off and make up cracking because it was so dry, but then I was turned onto using this and never has happened after that. I do not like the smell of sunscreen, so I don't use the one with SPF, instead I mix a sunscreen I own into a drop of this. I layer all my products and then go over with this moisturizer. I definitely recommend this!"
5,"Nashville, TN, USA",2018-03-27,Love this moisturizer!,,I have tried so many moisturizers over the years to find one that will moisturize my skin without it feeling greasy and this is the perfect one! A little bit goes a long way as it absorbs into the skin and makes it feel nourished and not greasy! Love this stuff and you get so much for the price!
3,,2018-03-22,It's Good for winter,,I am using '' Ultra Facial Cream '' which is good in winter but it really making me sweating and uncomfortable.
5,"New York, NY",2018-03-21,My Favorite Product!,,I absolutely swear by this face cream! It is the best and I have seen such a difference in my skin since I started using it! Highly recommend for anyone!
5,minneapolis,2018-03-16,Feeling Flawless!,,The moment this product touches my skin I can't help but smile just a bit. This moisturizer is absolutely incredible and something I look forward to using everyday!
2,"Kings Mountain, NC",2018-03-15,Disappointing product,,"It does not moisturize all night. Seems like it is water down and goes on your face smoothly, but it just disappears. I won't buy it again."
1,"Chicago, IL",2018-03-01,That smell..what did they change???,,"I've been using Kiehl's Ultra Facial Cream for years and have always been very satisfied. I received my most recent purchase earlier this month (Feb.2018) and noticed a definite change in this product.
The smell, as soon as you apply Kiehl's Ultra Facial Cream,is awful.The only way I can describe it is very similar to a heavy ""scent of motor oil."" I don't know if they've changed the formula, but it's not even usable (unless, you really like the smell of motor oil). Good luck. My previous 4 star rating down to 1."
5,Puerto Rico,2018-03-01,Best Cream Ever,no cons :),"My boyfriend gave me this cream and I love it Lleaves the skin soft and nourished and is lightweight to use before makeup. And very important any person with any kind of skin type can use it, I have oily skin and works great on my face. love love love <3"
5,"Boston, MA, USA",2018-02-22,Perfect moisturizer,,"This is the quintessential moisturizer. It does what it says: it softens the skin. Somehow, no matter what the season or what my skin is doing, it always gives the right amount of moisture. I prefer a moisturizer to do just that, and apply my anti-aging stuff as serums underneath. It feels refreshing and cushioning on the face, it's a pleasure to apply, and it's simply perfect. I wouldn't recommend it for ultra dry skin, but sensitive/norma/normal to oily/normal to dry could all benefit from this simple formulation."
